image,mask,source
datasetsss/Water Bodies Dataset/Images/water_body_1668.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1668.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8721.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8721.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_733.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_733.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1693.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1693.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7262.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7262.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7987.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7987.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8312.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8312.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1764.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1764.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8862.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8862.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_640.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_640.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2266.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2266.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7958.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7958.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7226.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7226.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_2180.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_2180.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_977.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_977.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1230.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1230.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7807.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7807.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_664.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_664.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_42.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_42.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_1806.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_1806.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_837.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_837.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_938.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_938.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_8044.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_8044.jpg,water_bodies
datasetsss/Water Bodies Dataset/Images/water_body_7407.jpg,datasetsss/Water Bodies Dataset/Masks/water_body_7407.jpg,water_bodies
